feature_name,importance,rank
feature_163,-2.1515425338644588e-05,394
feature_361,-2.4246179766437838e-05,395
feature_070,-3.074937496790331e-05,396
feature_572,-3.4689234269813515e-05,397
feature_339,-3.6283652386631673e-05,398
feature_083,-4.12993272840334e-05,399
feature_098,-4.684547607592959e-05,400
feature_417,-4.80689511194482e-05,401
feature_248,-5.005233063899162e-05,402
feature_569,-6.07593138686191e-05,403
feature_153,-6.241917964148468e-05,404
feature_133,-7.155822348716424e-05,405
feature_001,-7.213128093944699e-05,406
feature_138,-7.6044527658789e-05,407
feature_299,-8.569680807416768e-05,408
feature_217,-8.58031917168045e-05,409
feature_161,-8.735094854746828e-05,410
feature_054,-9.301811701000474e-05,411
feature_281,-9.959105962703552e-05,412
feature_106,-0.00012775392428737985,413
feature_321,-0.0001283753735116133,414
feature_356,-0.00013041741045966004,415
feature_488,-0.00013324994388914935,416
feature_333,-0.00013512507968059528,417
feature_011,-0.00013804722155410232,418
feature_066,-0.0001383090774328355,419
feature_139,-0.0001389819236693207,420
feature_565,-0.00014243047330550208,421
feature_185,-0.0001521252502439674,422
feature_323,-0.00015695742425509974,423
feature_037,-0.00016264616868216786,424
feature_455,-0.0001631838046975781,425
feature_497,-0.00016630427653119008,426
feature_453,-0.00016634211724589343,427
feature_238,-0.00016654142436356434,428
feature_151,-0.0001713954291425013,429
feature_388,-0.0001731554293917109,430
feature_585,-0.00018430608966515661,431
feature_412,-0.00018554365329655765,432
feature_303,-0.00019074996343974027,433
feature_175,-0.00019213832237025553,434
feature_367,-0.00019660163279070774,435
feature_007,-0.0002016187255200197,436
feature_435,-0.00020196625710245663,437
feature_143,-0.00020380670630792407,438
feature_410,-0.00020510085727175055,439
feature_120,-0.0002055584441151642,440
feature_216,-0.00023082904348452893,441
feature_564,-0.00024170969119938213,442
feature_082,-0.00024784683520210347,443
feature_255,-0.0002479847219553216,444
feature_577,-0.00024804366864621396,445
feature_227,-0.00025040333823282137,446
feature_300,-0.00025050165938597104,447
feature_485,-0.00025329196013398057,448
feature_296,-0.0002703492000368984,449
feature_089,-0.00027074857666954666,450
feature_279,-0.00027186292646715624,451
feature_254,-0.0002758689572476769,452
feature_442,-0.0002804504925534468,453
feature_555,-0.0002826469556820144,454
feature_341,-0.0002828514728475423,455
feature_023,-0.00028419657867640444,456
feature_423,-0.0002876141764075246,457
feature_306,-0.0002951735626235769,458
feature_020,-0.00030293736363469216,459
feature_030,-0.00030681736276844395,460
feature_170,-0.00030915929886280726,461
feature_424,-0.00031523135562037675,462
feature_076,-0.000317135278309702,463
feature_004,-0.00031893989183139624,464
feature_283,-0.00032000997609055447,465
feature_252,-0.0003332272700980743,466
feature_008,-0.0003343642885439924,467
feature_285,-0.00033856445731066944,468
feature_391,-0.00034772692798143434,469
feature_348,-0.0003523335007782263,470
feature_307,-0.00035519786918224996,471
feature_016,-0.00035714537688456003,472
feature_003,-0.00036026021123594377,473
feature_360,-0.00036894102294696693,474
feature_352,-0.00038746231324550683,475
feature_335,-0.000390051499188096,476
feature_393,-0.0003943815686019675,477
feature_188,-0.00039917394753610227,478
feature_557,-0.0004052639238179584,479
feature_207,-0.00040604828090016196,480
feature_561,-0.0004185929856255433,481
feature_118,-0.0004191983488243095,482
feature_456,-0.00043010519934091884,483
feature_055,-0.0004383394675996716,484
feature_570,-0.000442756888783169,485
feature_332,-0.0004583612057891595,486
feature_343,-0.00046238401442325326,487
feature_166,-0.00046294396837464333,488
feature_457,-0.00046565922736018785,489
feature_542,-0.0004671506772528533,490
feature_084,-0.0004686371929545297,491
feature_221,-0.0004864091937946208,492
feature_495,-0.0005043559136993809,493
feature_080,-0.0005083169908529084,494
feature_560,-0.0005100206208681846,495
feature_196,-0.0005222186966881759,496
feature_105,-0.0005251628580837609,497
feature_155,-0.0005254776640066572,498
feature_316,-0.0005269670666911919,499
feature_390,-0.0005563990789357126,500
feature_496,-0.0005623988767032295,501
feature_078,-0.0005670827925221639,502
feature_164,-0.0005773904772326532,503
feature_476,-0.0005782989969286029,504
feature_096,-0.000608382273888064,505
feature_317,-0.0006097887693962023,506
feature_490,-0.0006274427274766487,507
feature_353,-0.0006299007378959192,508
feature_039,-0.0006368925795264685,509
feature_174,-0.0006489957363186832,510
feature_298,-0.0006499136372280862,511
feature_366,-0.0006663805384245297,512
feature_228,-0.0006664357725537168,513
feature_286,-0.0006784479056345799,514
feature_183,-0.0006832657047927571,515
feature_218,-0.0006908303246682679,516
feature_125,-0.0006930867298567567,517
feature_318,-0.0006964425227310112,518
feature_337,-0.0006981210788305437,519
feature_142,-0.0007065551903977424,520
feature_108,-0.0007474416861494582,521
feature_067,-0.0007631006406391,522
feature_180,-0.0007676418233050347,523
feature_272,-0.0007773177758205963,524
